year,month,day,humidity,temp,sun,wind
2010,5,22,59,27.1,7.7,3.3
2010,5,23,84,20,0,2.9
2010,5,24,89,24.8,0,5.4
2010,5,25,67,27,9.1,7.7
2010,5,26,78,22.7,2.1,5.1
2010,5,27,78,21.7,5.3,3.5
2010,5,28,65,22.1,5.5,3.1
2010,5,29,71,17.4,0,3.9
2010,5,30,70,17.8,0.5,4.2
2010,5,31,60,21.6,9.5,2.9
2010,6,1,62,22.7,12.3,3.5
2010,6,2,61,24.3,13.5,3
2010,6,3,63,24.7,13,3.2
2010,6,4,67,24,12,4.4
2010,6,5,72,24.7,7.8,3.9
2010,6,6,63,25.1,10.7,2.9
2010,6,7,64,27.7,7.2,2.6
2010,6,8,74,22.8,0,2.9
2010,6,9,82,20.7,0,2.9
2010,6,10,69,27.7,12.2,3.5
2010,6,11,71,25.7,4.7,3.2
2010,6,12,70,27.2,12.5,4.8
2010,6,13,69,25.9,4,5.4
2010,6,14,88,21.7,0,4
2010,6,15,80,27.1,8.7,3.9
2010,6,16,80,28.2,5.9,6.3
2010,6,17,63,31.3,10.4,3.7
2010,6,18,83,27.9,1,4.1
2010,6,19,79,29.9,4,6.2
2010,6,20,80,27,0.3,7.6
2010,6,21,78,27.2,4.2,6
2010,6,22,77,28.2,2.7,3.8
2010,6,23,86,25.9,0.4,5.4
2010,6,24,73,27.7,6.4,3.1
2010,6,25,71,29.5,7.8,3.6
2010,6,26,81,27.2,0,6.3
2010,6,27,83,27.5,0.9,7.2
2010,6,28,79,32.6,1.7,2.2
2010,6,29,87,27,0,2.5
2010,6,30,80,28.7,3.3,2.8
2010,7,1,77,30.1,5,2.4
2010,7,2,76,30.4,3.9,3.3
2010,7,3,80,28.9,0.7,4.7
2010,7,4,80,31.5,4.1,2.8
2010,7,5,79,30,1.9,3.3
2010,7,6,76,30.8,2.9,2.9
2010,7,7,83,27.9,0.1,4.5
2010,7,8,76,29.7,10,3.7
2010,7,9,81,27.6,0.2,5
2010,7,10,65,29.7,11.6,5.9
2010,7,11,74,28.6,1.7,4.9
2010,7,12,77,29.3,0.9,12.7
2010,7,13,82,27.9,0.1,3.5
2010,7,14,76,30.5,8.2,7.2
2010,7,15,73,31.6,9.3,8.3
2010,7,16,73,31.5,12.5,6.3
2010,7,17,71,31.2,9.6,5.1
2010,7,18,70,32.2,10.6,5.7
2010,7,19,66,32.3,11.5,6.2
2010,7,20,71,32.2,10.2,3.7
2010,7,21,62,37.3,10.9,3
2010,7,22,68,35,10.8,2.9
2010,7,23,71,35,6.6,2.8
2010,7,24,69,35.7,10.4,3.3
2010,7,25,68,32.3,9.3,3.6
2010,7,26,70,32.5,8,3.5
2010,7,27,67,32.6,12.7,6.4
2010,7,28,62,33.5,12.6,7.6
2010,7,29,79,28.4,0.6,7.9
2010,7,30,81,29.8,0.5,5.9
2010,7,31,77,31.3,3,3.4
2010,8,1,76,32.4,5.8,3.3
2010,8,2,73,33.1,3.4,5.2
2010,8,3,72,32.1,8.2,5.6
2010,8,4,72,32.1,9.1,5.4
2010,8,5,68,34.5,12.5,5.7
2010,8,6,71,32.2,7.2,5.3
2010,8,7,69,32.4,12.1,5.1
2010,8,8,73,31.5,5.9,4.2
2010,8,9,80,28.4,0.4,3.8
2010,8,10,77,30.4,4.1,4.1
2010,8,11,75,32.1,4.9,5.5
2010,8,12,75,31.8,2.7,9.3
2010,8,13,75,30.3,3.1,3.9
2010,8,14,79,31.6,1.7,6.9
2010,8,15,73,32.9,9.5,5.5
2010,8,16,71,35.9,9.8,3.4
2010,8,17,69,36.2,11.9,3.3
2010,8,18,75,34.4,5.1,3.7
2010,8,19,75,32.9,3.9,4.2
2010,8,20,70,30.8,2.7,3.3
2010,8,21,68,33.2,9.1,3
2010,8,22,71,32.1,11.7,4.5
2010,8,23,73,34.1,11.3,4.3
2010,8,24,71,33,11.7,5
2010,8,25,70,32.5,11.3,4.8
2010,8,26,66,32.7,11.5,4.6
2010,8,27,69,33.4,11.2,3.9
2010,8,28,65,33.3,11.2,4.8
2010,8,29,69,33.2,10,4.2
2010,8,30,67,35.4,10.5,2.5
2010,8,31,68,36.1,10.3,3.2
2010,9,1,69,35,8.2,3.2
2010,9,2,72,32.1,1,3.5
2010,9,3,70,33.2,11.8,5.1
2010,9,4,61,36.2,10.7,3.7
2010,9,5,70,33.4,5.9,3.7
